url;alias;spf_record
musicpro.cz;ManagedHosting PHP (650);v=spf1 a mx include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
chataterezka.cz;ManagedHosting PHP (650);v=spf1 include:spf-zoner-zmail.zoner.com -all
klatovy-net.cz;ManagedHosting PHP (650);No TXT records
daniel-hladky.cz;ManagedHosting PHP (650);v=spf1 include:spf-zoner-zmail.zoner.com -all
lesnistavby.cz;ManagedHosting PHP (650);v=spf1 a include:spf-zoner-zma il.zoner.com include:spf-zoner -cloudmail.zoner.com -all
ksk-real.cz;ManagedHosting PHP (650);v=spf1 a mx include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
jsf-stavebni.cz;ManagedHosting PHP (650);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
kssklatovy.cz;ManagedHosting PHP (650);No TXT records
langmatz.cz;ManagedHosting PHP (650);v=spf1 include:spf-zoner-zmail.zoner.com include:spf.emailkampane.cz ~all
obechamry.cz;ManagedHosting PHP (650);No TXT records
vstrejc.cz;ManagedHosting PHP (650);No TXT records
lsstavby.cz;ManagedHosting PHP (650);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
pohadkovakovarna.cz;ManagedHosting PHP (650);No TXT records
klatovynet.eu;ManagedHosting PHP (650);No TXT records
sumavanet.eu;ManagedHosting PHP (650);No TXT records
zsplanicka.klatovynet.cz;ManagedHosting PHP NoMail (653);No TXT records
muzeum.sumava.net;ManagedHosting PHP NoMail (653);No TXT records
reg5.tjstartbela.cz;ManagedHosting PHP NoMail (653);No TXT records
user.regiofoto.cz;ManagedHosting PHP NoMail (653);No TXT records
data.nyrsko.net;ManagedHosting PHP NoMail (653);No TXT records
fdh.klatovynet.cz;ManagedHosting PHP NoMail (653);No TXT records
openkt.klatovynet.eu;ManagedHosting PHP NoMail (653);No TXT records
rozvoz.danielhladky.cz;ManagedHosting PHP NoMail (653);v=spf1 include:spf-zoner-zmail.zoner.com -all
rodicovskeschuzky.zsklatovyplanicka.cz;ManagedHosting PHP NoMail (653);No TXT records
new.ksk-real.cz;ManagedHosting PHP NoMail (653);No TXT records
old.ksk-real.cz;ManagedHosting PHP NoMail (653);No TXT records
povydri.cz;ManagedHosting PHP NoMail (653);No TXT records
regiofoto.cz;ManagedHosting PHP NoMail (653);No TXT records
apartmanymodrava.cz;ManagedHosting PHP NoMail (653);v=spf1 a mx include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
monroecaffe.cz;ManagedHosting PHP NoMail (653);No TXT records
tsklatovy.cz;ManagedHosting PHP NoMail (653);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com ip4:85.13.85.129 -all
mhladky.cz;ManagedHosting PHP NoMail (653);No TXT records
zde.info;ManagedHosting PHP NoMail (653);No TXT records
sumava.pro;ManagedHosting PHP NoMail (653);No TXT records
